#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#weight,#mass,#charge_number,#species
0.27223,0.110481,-0.289596,16.9561,24.8945,-15.1812,500000000,6.63E-26,1,40Ar+
0.0332626,-0.490666,-0.190507,31.3152,30.401,7.36775,500000000,6.63E-26,1,40Ar+
-0.326308,-0.398838,0.0779015,4.85699,-13.0465,35.2657,500000000,6.63E-26,1,40Ar+
-0.171748,-0.0876411,-0.496805,14.4695,-16.4003,-62.9659,500000000,6.63E-26,1,40Ar+
-0.474899,0.169175,0.0156476,43.7131,-31.0907,-51.026,500000000,6.63E-26,1,40Ar+
-0.38009,0.185177,0.00702865,34.255,-89.0555,13.5848,500000000,6.63E-26,1,40Ar+
0.299767,0.216773,0.489312,-18.8584,31.358,23.1225,500000000,6.63E-26,1,40Ar+
0.161234,-0.15434,-0.402331,-31.7478,9.82937,25.2712,500000000,6.63E-26,1,40Ar+
0.30961,0.236015,0.25087,-52.2683,11.3814,19.7213,500000000,6.63E-26,1,40Ar+
0.0365214,-0.42978,-0.292718,78.0635,13.5133,54.7971,500000000,6.63E-26,1,40Ar+
0.117016,-0.292118,0.428566,1.36519,41.8089,13.6625,500000000,6.63E-26,1,40Ar+
-0.330275,-0.355951,0.45353,-18.3623,9.33341,24.6768,500000000,6.63E-26,1,40Ar+
0.229997,0.128723,0.152276,-22.2004,32.95,6.68303,500000000,6.63E-26,1,40Ar+
0.49855,-0.482935,-0.196051,23.0618,29.9236,-12.112,500000000,6.63E-26,1,40Ar+
0.237262,0.168239,0.42932,14.6945,-13.1226,-1.97228,500000000,6.63E-26,1,40Ar+
0.115273,0.314655,-0.470148,-5.42567,26.1651,33.1195,500000000,6.63E-26,1,40Ar+
-0.248379,-0.267846,-0.316461,-25.8054,-25.015,2.91685,500000000,6.63E-26,1,40Ar+
-0.240625,0.455242,0.0817315,45.1495,-3.22727,27.3078,500000000,6.63E-26,1,40Ar+
0.380623,-0.463785,0.133706,10.594,15.1508,-1.1796,500000000,6.63E-26,1,40Ar+
-0.438657,-0.0888092,0.345671,-21.9237,68.2214,4.32098,500000000,6.63E-26,1,40Ar+
-0.352156,0.385875,0.341799,-16.8591,17.4628,32.3712,500000000,6.63E-26,1,40Ar+
-0.28004,-0.469337,0.235559,9.0713,47.0202,13.8996,500000000,6.63E-26,1,40Ar+
0.130588,-0.187729,-0.19492,8.81962,8.79614,-5.86707,500000000,6.63E-26,1,40Ar+
-0.458327,-0.0753961,-0.247959,3.6859,-3.636,-31.7351,500000000,6.63E-26,1,40Ar+
0.21248,0.370056,0.193098,22.6342,-30.4946,15.2007,500000000,6.63E-26,1,40Ar+
